STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT13,WT16,WT19
USW00013958,"AUSTIN CAMP MABRY, TX US",5/6/13,0,0,0,,76,50,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/7/13,0,0,0,,87,51,,,1,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/8/13,0.01,0,0,,86,65,,,1,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/9/13,0.03,0,0,,78,66,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/10/13,1.28,0,0,,88,62,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/11/13,0,0,0,,83,62,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/12/13,0,0,0,,83,60,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/13/13,0,0,0,,87,53,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/14/13,0,0,0,,87,61,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/15/13,0.13,0,0,,87,67,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/16/13,0.05,0,0,,94,70,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/17/13,0,0,0,,95,75,,,,,,,1,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/18/13,0,0,0,,96,72,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/19/13,0,0,0,,94,73,,,,,,,1,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/20/13,0,0,0,,94,73,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/21/13,0,0,0,,90,69,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/22/13,0,0,0,,94,61,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/23/13,0,0,0,,91,75,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/24/13,3.3,0,0,,84,65,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/25/13,0.45,0,0,,81,70,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/26/13,0.78,0,0,,87,71,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/27/13,0,0,0,,90,72,,,,,,,,,,
